Fish,hakai_id,Stock 1,Region 1,Prob 1,Stock 2,Region 2,Prob 2,Stock 3,Region 3,Prob 3,Stock 4,Region 4,Prob 4,Stock 5,Region 5,Prob 5
Hakai_P_A12 (15) unkn 146 601,U601,Middle,3,0.47,Chilko,3,0.18,Porter_Cr,1,0.08,Kynock,1,0.07,Gluskie,1,0.05
Hakai_P_A12 (15) unkn 146 602,U602,Gates_Cr,2,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 146 603,U603,L_Adams,4,0.51,Chilko,3,0.49,Chilko_south,2,0.00,,,,,,
Hakai_P_A12 (15) unkn 146 691,U691,Mitchell,3,1.00,Quesnel_Mitche,3,0.00,,,,,,,,,
Hakai_P_A12 (15) unkn 146 692,U692,Chilko,3,1.00,L_Adams,4,0.00,,,,,,,,,
Hakai_P_A12 (15) unkn 146 693,U693,Chilko,3,1.00,Scotch,2,0.00,Middle,3,0.00,Chilko-North,3,0.00,Pitt,2,0.00
Hakai_P_A12 (15) unkn 146 694,U694,Chilko,3,0.58,Middle,3,0.19,U_Horsefly,3,0.11,L_Adams,4,0.05,Chilko_south,2,0.02
Hakai_P_A12 (15) unkn 146 695,U695,Chilko,3,0.90,Mitchell,3,0.05,U_Horsefly,3,0.05,L_Adams,4,0.01,Middle,3,0.00
Hakai_P_A12 (15) unkn 146 696,U696,Chilko,3,0.97,L_Adams,4,0.02,Middle,3,0.01,Pitt,2,0.00,Thompson_N,2,0.00
Hakai_P_A12 (15) unkn 146 697,U697,Chilko,3,0.99,Middle,3,0.01,Chilko_south,2,0.00,Birkenhead,3,0.00,,,
Hakai_P_A12 (15) unkn 146 749,U749,Mitchell,3,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 146 750,U750,Chilko,3,0.89,Weaver,4,0.10,Mitchell,3,0.00,L_Adams,4,0.00,U_Horsefly,3,0.00
Hakai_P_A12 (15) unkn 147 1105,U1105,Chilko,3,1.00,Chilko_south,2,0.00,,,,,,,,,
Hakai_P_A12 (15) unkn 147 1106,U1106,Pitt,2,0.73,Weaver,4,0.27,,,,,,,,,
